Cavendish Bananas Each, $0.76 / 1EA
Eat Later Hass Avocado Each, $2.90 / 1EA
Red Capsicum Each, $2.23 / 1EA
Green Zucchini Each, $0.78 / 1EA
Fresh Granny Smith Apples Each, $0.86 / 1EA
Tomato Roma Red Each, $0.62 / 1EA
Corn Sweet Each, $1.20 / 1EA
Lemon Fresh Each, $1.91 / 1EA
Red Seedless Watermelon Whole Each, $25.52 / 1EA
White Seedless Grapes each, $7.51 / 1EA
Woolworths Fresh Herb Coriander Bunch, $3.20 / 1EA
Strawberries 250g Punnet, $12.00 / 1KG
Eggplant Fresh Each, $2.21 / 1EA
Beetroot Loose Each, $1.95 / 1EA
Woolworths White Washed Baby Potatoes Bag 1kg, $4.30 / 1KG
Woolworths Kiwi Fruit Green Each, $2.36 / 1EA
Garlic Heads 3 Pack, $1.10 / 1EA
Cavendish Bananas Each, $0.76 / 1EA
Fresh Pink Lady Apples Each, $0.86 / 1EA
Fresh Tomato Each, $0.76 / 1EA
Eat Later Hass Avocado Each, $2.90 / 1EA
Strawberries 250g Punnet, $12.00 / 1KG
Potato White Washed Each, $0.85 / 1EA
Onion Brown Each, $0.59 / 1EA
Red Capsicum Each, $2.23 / 1EA
Lebanese Cucumbers Each, $1.06 / 1EA
Eat Later Cavendish Bananas Each, $0.76 / 1EA
Fresh Broccoli Each, $1.95 / 1EA
Blueberries Punnet 170g, $11.76 / 1KG
Truss Tomatoes Each, $0.41 / 1EA
Green Zucchini Each, $0.78 / 1EA
Carrot Fresh Each, $0.35 / 1EA
Apple Royal Gala Each, $0.94 / 1EA
Fresh Granny Smith Apples Each, $0.86 / 1EA
Onion Red Each, $0.83 / 1EA
Sweet Potato Gold Each, $2.21 / 1EA
Woolworths Continental Cucumbers Each, $2.70 / 1EA
Iceberg Lettuce Each, $3.00 / 1EA
Woolworths Cherry Tomatoes Punnet 250g, $10.00 / 1KG
Tomato Roma Red Each, $0.62 / 1EA
Fresh Packham Pear Each, $1.71 / 1EA
